weather_condition,phase_of_flight,aircraft_damage,number_of_engines,fatal_injuries,serious_injuries,minor_injuries,uninjured,emergency_type,severity_score,risk_level,atc_action,response_time_minutes
VMC,Approach,Destroyed,2,0,0,0,112,Landing Gear Issue,82.0,Critical,Priority Landing,20.5
VMC,Cruise,None,2,0,1,0,177,Near Collision,56.0,High,Go Around,17.3
Rain,Landing,None,1,0,1,1,38,Landing Gear Issue,62.0,High,Runway Change,13.9
VMC,Approach,None,2,0,0,3,31,Engine Failure,56.5,High,Runway Change,18.2
VMC,Taxi,Minor,2,0,0,1,129,Near Collision,62.5,High,Go Around,16.8
VMC,Cruise,Minor,2,0,1,0,47,Near Collision,68.0,High,Go Around,16.8
Fog,Landing,Minor,1,1,1,2,188,Landing Gear Issue,88.5,Critical,Priority Landing,24.1
Rain,Takeoff,None,2,0,2,1,61,Engine Failure,77.5,High,Runway Change,19.1
Rain,Taxi,None,2,0,1,1,134,Cabin Pressure Failure,63.5,High,Emergency Descent,15.1
Fog,Takeoff,Minor,2,0,2,0,60,Cabin Pressure Failure,95.0,Critical,Priority Landing,26.5
IMC,Cruise,Destroyed,1,0,0,1,232,Engine Failure,100.0,Critical,Priority Landing,28.9
IMC,Taxi,None,2,1,2,1,213,Cabin Pressure Failure,76.5,High,Emergency Descent,23.1
VMC,Taxi,None,4,0,1,0,20,Medical Emergency,26.0,Low,Continue Monitoring,11.6
VMC,Cruise,None,4,1,0,1,110,Medical Emergency,35.5,Medium,Continue Monitoring,12.0
Rain,Cruise,None,3,0,0,3,236,Near Collision,68.0,High,Go Around,19.6
IMC,Takeoff,None,4,0,0,4,132,Near Collision,78.0,High,Go Around,21.1
IMC,Taxi,None,2,0,0,0,214,Near Collision,62.0,High,Go Around,19.4
Fog,Takeoff,Minor,4,0,1,3,40,Medical Emergency,72.5,High,Runway Change,18.7
Rain,Takeoff,None,4,0,0,1,118,Landing Gear Issue,51.5,Medium,Continue Monitoring,12.1
IMC,Cruise,None,2,0,1,0,220,Bird Strike,52.0,Medium,Continue Monitoring,20.0
IMC,Takeoff,None,4,0,1,1,64,Fuel Low,63.5,High,Runway Change,21.2
VMC,Takeoff,Substantial,2,0,1,0,22,Medical Emergency,72.0,High,Runway Change,19.3
VMC,Approach,None,2,0,0,2,188,Fuel Low,48.0,Medium,Continue Monitoring,10.0
VMC,Landing,None,4,0,1,0,39,Fuel Low,51.0,Medium,Continue Monitoring,11.6
VMC,Climb,None,2,0,1,0,89,Landing Gear Issue,38.0,Medium,Continue Monitoring,15.1
VMC,Landing,Minor,2,0,0,2,206,Bird Strike,62.0,High,Runway Change,11.2
Windy,Approach,Substantial,2,0,0,4,225,Cabin Pressure Failure,100.0,Critical,Priority Landing,21.1
VMC,Climb,None,2,0,0,2,50,Medical Emergency,35.0,Medium,Continue Monitoring,13.1
VMC,Landing,None,4,0,0,1,134,Engine Failure,55.5,High,Runway Change,16.5
VMC,Approach,None,4,0,0,2,202,Bird Strike,42.0,Medium,Continue Monitoring,12.9
VMC,Landing,Minor,2,0,0,0,110,Fuel Low,62.0,High,Runway Change,14.5
Rain,Takeoff,Substantial,4,0,1,1,100,Medical Emergency,83.5,Critical,Priority Landing,18.3
IMC,Climb,None,2,0,0,0,144,Medical Emergency,45.0,Medium,Continue Monitoring,18.6
Fog,Climb,None,4,0,0,3,198,Cabin Pressure Failure,70.5,High,Emergency Descent,26.7
Rain,Cruise,Substantial,1,1,0,3,29,Medical Emergency,86.0,Critical,Priority Landing,21.6
VMC,Taxi,Minor,2,1,0,2,31,Runway Incursion,51.0,Medium,Continue Monitoring,12.6
Fog,Landing,None,1,0,1,0,44,Fuel Low,72.5,High,Runway Change,21.8
VMC,Approach,None,2,0,0,0,98,Runway Incursion,37.0,Medium,Continue Monitoring,10.4
VMC,Approach,None,2,0,1,2,83,Landing Gear Issue,44.0,Medium,Continue Monitoring,11.5
VMC,Taxi,Substantial,1,1,0,0,130,Near Collision,89.5,Critical,Priority Landing,17.9
Rain,Cruise,Minor,2,1,0,3,89,Engine Failure,83.5,Critical,Priority Landing,22.0
IMC,Climb,Minor,2,0,0,2,163,Landing Gear Issue,62.0,High,Holding Pattern,21.3
VMC,Takeoff,Substantial,2,0,0,3,93,Runway Incursion,74.5,High,Runway Change,19.7
IMC,Climb,None,2,0,0,3,212,Cabin Pressure Failure,69.5,High,Emergency Descent,24.8
VMC,Approach,None,2,0,0,2,91,Fuel Low,48.0,Medium,Continue Monitoring,12.6
Rain,Cruise,None,1,1,0,1,76,Near Collision,77.0,High,Go Around,22.2
VMC,Cruise,Substantial,1,2,0,0,217,Cabin Pressure Failure,97.5,Critical,Priority Landing,23.9
VMC,Cruise,Minor,2,0,2,2,171,Runway Incursion,53.0,Medium,Continue Monitoring,18.6
VMC,Taxi,None,2,0,0,2,31,Near Collision,52.0,Medium,Go Around,13.3
Rain,Taxi,None,2,0,0,2,54,Runway Incursion,43.0,Medium,Continue Monitoring,12.9
VMC,Takeoff,Minor,3,2,1,0,31,Landing Gear Issue,72.5,High,Runway Change,14.5
VMC,Takeoff,Minor,2,0,0,1,202,Runway Incursion,53.5,Medium,Continue Monitoring,14.3
VMC,Climb,Minor,2,0,1,0,164,Fuel Low,58.0,High,Holding Pattern,14.1
Storm,Taxi,None,4,0,0,2,234,Landing Gear Issue,52.0,Medium,Continue Monitoring,13.3
Windy,Cruise,Substantial,2,1,2,1,95,Runway Incursion,91.5,Critical,Priority Landing,22.9
Rain,Taxi,Substantial,1,0,0,3,30,Medical Emergency,74.0,High,Runway Change,15.5
VMC,Approach,Minor,1,0,0,0,125,Engine Failure,65.5,High,Runway Change,16.1
Storm,Approach,Minor,2,0,0,3,38,Landing Gear Issue,78.5,High,Runway Change,26.6
Fog,Climb,Substantial,2,0,0,3,53,Cabin Pressure Failure,100.0,Critical,Priority Landing,27.3
Rain,Cruise,Substantial,2,0,0,0,201,Medical Emergency,71.0,High,Holding Pattern,18.5
VMC,Takeoff,Minor,4,1,0,2,107,Cabin Pressure Failure,79.0,High,Emergency Descent,18.6
VMC,Approach,None,4,0,2,1,222,Engine Failure,58.5,High,Runway Change,15.5
VMC,Climb,None,2,0,0,2,138,Runway Incursion,37.0,Medium,Continue Monitoring,13.3
Windy,Climb,Substantial,2,0,0,0,169,Bird Strike,82.0,Critical,Priority Landing,21.3
IMC,Takeoff,Minor,2,0,0,1,211,Fuel Low,74.5,High,Runway Change,22.8
VMC,Landing,None,2,0,0,1,126,Cabin Pressure Failure,61.5,High,Emergency Descent,16.1
VMC,Taxi,None,4,0,0,1,93,Near Collision,47.5,Medium,Go Around,10.5
IMC,Cruise,Substantial,2,0,1,0,196,Engine Failure,92.0,Critical,Priority Landing,27.4
VMC,Approach,Substantial,1,0,0,2,211,Cabin Pressure Failure,89.5,Critical,Priority Landing,20.2
Windy,Taxi,Destroyed,2,0,0,1,88,Bird Strike,91.5,Critical,Priority Landing,18.4
Fog,Approach,None,1,0,2,1,209,Landing Gear Issue,65.0,High,Runway Change,20.2
Rain,Approach,Substantial,2,0,0,1,248,Fuel Low,89.5,Critical,Priority Landing,18.4
VMC,Cruise,Substantial,2,0,1,1,64,Medical Emergency,63.5,High,Holding Pattern,20.4
Rain,Approach,None,2,0,1,1,215,Cabin Pressure Failure,73.5,High,Emergency Descent,17.6
IMC,Approach,None,2,0,1,0,39,Bird Strike,59.0,High,Runway Change,18.8
Rain,Landing,Destroyed,4,0,1,0,224,Bird Strike,100.0,Critical,Priority Landing,20.8
VMC,Approach,None,1,0,0,0,224,Landing Gear Issue,38.5,Medium,Continue Monitoring,10.7
VMC,Approach,Minor,2,0,0,2,216,Cabin Pressure Failure,70.0,High,Emergency Descent,12.6
VMC,Takeoff,Minor,1,0,0,2,100,Bird Strike,61.5,High,Runway Change,12.8
IMC,Taxi,Minor,2,0,0,1,234,Near Collision,75.5,High,Go Around,22.3
VMC,Taxi,None,4,0,2,2,147,Landing Gear Issue,35.0,Medium,Continue Monitoring,6.0
VMC,Climb,Minor,2,0,2,4,34,Runway Incursion,60.0,High,Holding Pattern,19.5
VMC,Climb,None,2,0,2,2,215,Medical Emergency,43.0,Medium,Continue Monitoring,11.2
IMC,Taxi,Substantial,2,0,0,0,228,Near Collision,92.0,Critical,Priority Landing,26.1
VMC,Climb,None,2,0,1,0,89,Landing Gear Issue,38.0,Medium,Continue Monitoring,12.1
Windy,Landing,Minor,4,0,0,0,77,Fuel Low,72.0,High,Runway Change,18.5
IMC,Landing,Substantial,2,1,0,2,150,Runway Incursion,97.0,Critical,Priority Landing,25.7
VMC,Taxi,None,1,0,0,1,102,Landing Gear Issue,30.0,Medium,Continue Monitoring,6.3
IMC,Takeoff,None,2,0,0,2,166,Fuel Low,64.0,High,Runway Change,22.0
VMC,Cruise,Substantial,2,0,0,2,105,Landing Gear Issue,63.0,High,Holding Pattern,21.2
Storm,Approach,None,1,0,0,2,70,Engine Failure,81.5,Critical,Priority Landing,22.5
IMC,Taxi,None,2,0,1,1,73,Fuel Low,53.5,Medium,Continue Monitoring,17.1
Fog,Climb,Minor,2,0,0,2,171,Fuel Low,74.0,High,Holding Pattern,24.0
VMC,Climb,Substantial,1,2,0,3,120,Engine Failure,100.0,Critical,Priority Landing,23.0
IMC,Climb,Minor,2,2,0,1,23,Cabin Pressure Failure,96.5,Critical,Priority Landing,30.6
IMC,Landing,None,2,0,0,2,136,Cabin Pressure Failure,76.0,High,Emergency Descent,20.6
Windy,Taxi,Destroyed,2,0,0,3,201,Medical Emergency,87.5,Critical,Priority Landing,19.6
IMC,Takeoff,Minor,2,0,0,2,54,Runway Incursion,68.0,High,Runway Change,18.7
IMC,Climb,None,2,0,1,0,76,Bird Strike,56.0,High,Holding Pattern,19.8
VMC,Climb,None,1,0,0,2,102,Runway Incursion,38.5,Medium,Continue Monitoring,11.4
VMC,Taxi,None,2,0,1,1,233,Near Collision,54.5,Medium,Go Around,16.3
IMC,Cruise,None,2,0,0,2,100,Landing Gear Issue,46.0,Medium,Continue Monitoring,19.0
VMC,Climb,Minor,2,0,0,2,212,Engine Failure,64.0,High,Holding Pattern,20.5
VMC,Climb,None,2,0,1,3,175,Landing Gear Issue,42.5,Medium,Continue Monitoring,14.7
Fog,Approach,Minor,2,2,1,0,248,Engine Failure,100.0,Critical,Priority Landing,24.6
Windy,Cruise,None,4,0,1,2,153,Near Collision,69.0,High,Go Around,18.8
VMC,Takeoff,None,2,1,1,1,92,Runway Incursion,54.5,Medium,Continue Monitoring,12.7
IMC,Landing,None,2,1,0,2,184,Bird Strike,72.0,High,Runway Change,21.0
VMC,Cruise,Minor,4,0,1,2,40,Engine Failure,61.0,High,Holding Pattern,17.2
Rain,Climb,Minor,2,0,0,1,200,Engine Failure,75.5,High,Holding Pattern,20.0
VMC,Landing,None,2,0,1,0,73,Bird Strike,51.0,Medium,Continue Monitoring,10.4
Rain,Landing,None,3,0,0,1,173,Bird Strike,60.0,High,Runway Change,13.2
Rain,Takeoff,None,2,0,0,0,153,Landing Gear Issue,53.0,Medium,Continue Monitoring,16.8
Fog,Takeoff,Substantial,2,1,0,1,75,Bird Strike,100.0,Critical,Priority Landing,24.7
VMC,Takeoff,None,2,0,0,0,130,Runway Incursion,40.0,Medium,Continue Monitoring,9.1
Windy,Landing,Substantial,2,0,0,3,135,Engine Failure,100.0,Critical,Priority Landing,22.7
VMC,Approach,None,2,0,0,1,196,Near Collision,60.5,High,Go Around,17.7
VMC,Landing,None,2,0,0,2,127,Medical Emergency,43.0,Medium,Continue Monitoring,8.8
IMC,Approach,Minor,2,0,0,2,33,Cabin Pressure Failure,83.0,Critical,Priority Landing,22.5
VMC,Cruise,Minor,2,0,0,0,37,Runway Incursion,42.0,Medium,Continue Monitoring,13.3
Fog,Approach,None,2,0,2,1,172,Bird Strike,68.5,High,Runway Change,16.8
Fog,Landing,Destroyed,2,0,0,0,225,Engine Failure,100.0,Critical,Priority Landing,27.5
VMC,Cruise,None,4,0,0,0,120,Bird Strike,32.0,Medium,Continue Monitoring,12.7
Storm,Taxi,None,2,1,0,2,41,Runway Incursion,64.0,High,Runway Change,19.7
VMC,Taxi,None,2,0,0,1,59,Cabin Pressure Failure,46.5,Medium,Emergency Descent,10.9
IMC,Landing,Minor,2,0,1,0,244,Landing Gear Issue,71.0,High,Runway Change,21.7
VMC,Taxi,Substantial,1,1,0,3,181,Runway Incursion,72.0,High,Runway Change,15.9
Windy,Cruise,None,2,0,1,1,27,Bird Strike,53.5,Medium,Continue Monitoring,16.3
VMC,Takeoff,Substantial,2,0,2,2,79,Engine Failure,96.0,Critical,Priority Landing,19.1
VMC,Cruise,Minor,2,0,2,0,187,Engine Failure,65.0,High,Holding Pattern,16.3
VMC,Landing,Destroyed,2,0,0,2,165,Bird Strike,95.0,Critical,Priority Landing,23.8
Storm,Landing,Substantial,4,0,1,0,86,Medical Emergency,96.0,Critical,Priority Landing,24.3
Windy,Cruise,Substantial,2,0,0,1,180,Engine Failure,89.5,Critical,Priority Landing,23.7
Rain,Climb,Minor,2,0,0,1,228,Runway Incursion,60.5,High,Holding Pattern,17.8
Windy,Cruise,None,2,1,0,0,227,Medical Emergency,50.0,Medium,Continue Monitoring,15.1
Windy,Landing,None,2,0,0,1,209,Near Collision,78.5,High,Go Around,17.1
IMC,Takeoff,Minor,1,0,1,1,101,Runway Incursion,72.0,High,Runway Change,22.2
VMC,Climb,None,4,0,0,1,25,Engine Failure,47.5,Medium,Continue Monitoring,14.9
Fog,Climb,Minor,3,0,1,1,109,Medical Emergency,65.0,High,Holding Pattern,22.4
Rain,Landing,None,4,0,1,1,25,Near Collision,79.5,High,Go Around,18.4
VMC,Cruise,Substantial,2,0,0,2,151,Landing Gear Issue,63.0,High,Holding Pattern,20.7
VMC,Takeoff,None,1,0,0,0,158,Runway Incursion,41.5,Medium,Continue Monitoring,12.8
Rain,Climb,Substantial,2,0,2,0,98,Bird Strike,90.0,Critical,Priority Landing,24.0
VMC,Takeoff,None,4,0,0,0,54,Fuel Low,45.0,Medium,Continue Monitoring,11.0
Windy,Cruise,None,1,0,0,1,140,Runway Incursion,46.0,Medium,Continue Monitoring,12.5
VMC,Taxi,Substantial,1,0,2,2,23,Near Collision,91.5,Critical,Priority Landing,22.4
VMC,Approach,Substantial,1,0,1,0,83,Bird Strike,77.5,High,Runway Change,19.9
Fog,Taxi,Minor,2,1,0,0,242,Medical Emergency,63.0,High,Runway Change,19.1
VMC,Landing,Destroyed,2,1,0,0,230,Landing Gear Issue,96.0,Critical,Priority Landing,22.4
VMC,Taxi,None,2,0,0,1,165,Bird Strike,33.5,Medium,Continue Monitoring,11.6
IMC,Climb,Substantial,1,0,0,0,106,Fuel Low,86.5,Critical,Priority Landing,28.2
Windy,Taxi,None,2,0,0,0,22,Landing Gear Issue,40.0,Medium,Continue Monitoring,13.0
VMC,Climb,Minor,2,0,2,1,169,Near Collision,77.5,High,Go Around,20.0
VMC,Cruise,None,2,0,0,2,132,Bird Strike,38.0,Medium,Continue Monitoring,16.9
Fog,Landing,None,2,0,1,1,184,Fuel Low,72.5,High,Runway Change,18.6
Storm,Climb,Minor,2,1,1,1,56,Runway Incursion,85.5,Critical,Priority Landing,28.1
IMC,Climb,Minor,2,0,0,1,210,Fuel Low,68.5,High,Holding Pattern,24.3
VMC,Takeoff,None,4,0,1,0,205,Near Collision,63.0,High,Go Around,17.1
VMC,Takeoff,Substantial,2,0,0,2,118,Medical Emergency,71.0,High,Runway Change,20.5
VMC,Approach,Minor,2,0,0,3,26,Bird Strike,58.5,High,Runway Change,17.5
VMC,Taxi,None,2,0,2,2,127,Fuel Low,46.0,Medium,Continue Monitoring,10.0
Rain,Climb,Minor,2,1,0,0,105,Near Collision,90.0,Critical,Priority Landing,19.8
VMC,Cruise,None,1,0,0,1,195,Runway Incursion,33.0,Medium,Continue Monitoring,14.6
IMC,Taxi,None,2,0,1,0,74,Engine Failure,59.0,High,Runway Change,16.6
Rain,Landing,Minor,2,0,0,2,24,Landing Gear Issue,70.0,High,Runway Change,16.6
IMC,Takeoff,None,2,0,0,0,245,Bird Strike,58.0,High,Runway Change,20.1
VMC,Approach,None,2,0,0,3,75,Near Collision,63.5,High,Go Around,12.1
Fog,Takeoff,Minor,2,0,1,1,37,Fuel Low,82.5,Critical,Priority Landing,18.6
Rain,Climb,None,2,1,0,3,217,Fuel Low,68.5,High,Holding Pattern,19.8
Rain,Climb,Substantial,2,0,0,2,185,Landing Gear Issue,80.0,Critical,Priority Landing,21.5
VMC,Approach,Substantial,2,0,0,1,81,Near Collision,90.5,Critical,Priority Landing,19.8
VMC,Climb,None,2,0,0,3,129,Landing Gear Issue,38.5,Medium,Continue Monitoring,14.0
Windy,Climb,Minor,4,1,0,1,178,Engine Failure,81.5,Critical,Priority Landing,19.9
VMC,Climb,None,2,0,0,0,207,Fuel Low,42.0,Medium,Continue Monitoring,11.5
VMC,Cruise,Minor,4,0,0,1,105,Engine Failure,55.5,High,Holding Pattern,16.7
IMC,Approach,None,2,0,0,1,69,Medical Emergency,49.5,Medium,Continue Monitoring,15.0
Rain,Cruise,Substantial,3,0,0,3,23,Medical Emergency,74.0,High,Holding Pattern,17.0
Storm,Climb,None,1,0,0,1,216,Landing Gear Issue,62.0,High,Holding Pattern,23.2
VMC,Approach,Minor,2,0,0,1,207,Bird Strike,55.5,High,Runway Change,13.9
Windy,Approach,None,1,0,1,4,238,Near Collision,83.5,Critical,Priority Landing,19.8
VMC,Takeoff,None,1,0,0,0,191,Landing Gear Issue,41.5,Medium,Continue Monitoring,9.5
IMC,Taxi,Minor,4,0,1,1,69,Engine Failure,69.5,High,Runway Change,19.2
Rain,Taxi,Minor,2,0,1,3,75,Medical Emergency,58.5,High,Runway Change,12.5
VMC,Approach,Destroyed,2,0,2,0,75,Medical Emergency,88.0,Critical,Priority Landing,18.1
VMC,Approach,None,2,0,0,0,125,Engine Failure,52.0,Medium,Continue Monitoring,13.8
VMC,Landing,None,2,1,1,1,241,Medical Emergency,54.5,Medium,Continue Monitoring,12.2
Storm,Cruise,None,2,0,0,3,178,Fuel Low,67.5,High,Holding Pattern,23.9
IMC,Cruise,None,3,0,3,4,119,Fuel Low,67.5,High,Holding Pattern,23.8
Windy,Cruise,Substantial,2,0,1,0,189,Bird Strike,82.0,Critical,Priority Landing,25.8
Fog,Takeoff,Substantial,2,0,1,1,212,Cabin Pressure Failure,100.0,Critical,Priority Landing,23.2
IMC,Taxi,Substantial,2,0,0,1,112,Medical Emergency,69.5,High,Runway Change,22.3
Fog,Climb,None,4,0,0,1,213,Near Collision,71.5,High,Go Around,23.7
VMC,Climb,None,1,0,0,0,24,Fuel Low,43.5,Medium,Continue Monitoring,14.8
VMC,Taxi,Minor,2,0,0,4,91,Near Collision,67.0,High,Go Around,13.2
Fog,Approach,None,4,0,1,2,59,Cabin Pressure Failure,76.0,High,Emergency Descent,20.8
Fog,Approach,Minor,2,0,0,2,61,Fuel Low,77.0,High,Runway Change,23.3
VMC,Climb,None,1,0,0,1,66,Runway Incursion,37.0,Medium,Continue Monitoring,13.5
IMC,Climb,None,2,1,0,2,104,Near Collision,81.0,Critical,Priority Landing,25.7
Rain,Landing,Substantial,2,0,0,2,186,Cabin Pressure Failure,100.0,Critical,Priority Landing,21.4
Windy,Cruise,None,4,1,1,3,156,Cabin Pressure Failure,75.5,High,Emergency Descent,22.9
Rain,Takeoff,Destroyed,3,0,0,0,121,Runway Incursion,96.5,Critical,Priority Landing,21.3
VMC,Taxi,None,2,0,0,1,134,Runway Incursion,28.5,Low,Continue Monitoring,4.7
VMC,Cruise,None,4,0,0,0,62,Near Collision,49.0,Medium,Go Around,14.4
VMC,Landing,None,2,0,0,3,189,Engine Failure,61.5,High,Runway Change,11.1
Rain,Cruise,None,4,0,2,3,193,Bird Strike,57.5,High,Holding Pattern,10.8
Windy,Approach,Minor,2,0,0,1,146,Medical Emergency,61.5,High,Runway Change,14.0
IMC,Landing,None,2,1,0,0,207,Cabin Pressure Failure,82.0,Critical,Priority Landing,25.4
VMC,Taxi,Minor,1,0,2,0,205,Medical Emergency,46.5,Medium,Continue Monitoring,12.5
VMC,Climb,Substantial,1,0,1,3,205,Runway Incursion,74.0,High,Holding Pattern,18.0
Rain,Landing,None,2,0,0,1,43,Fuel Low,64.5,High,Runway Change,13.7
Fog,Taxi,None,1,0,3,0,39,Cabin Pressure Failure,75.5,High,Emergency Descent,23.9
VMC,Approach,None,2,0,0,0,120,Near Collision,59.0,High,Go Around,14.9
VMC,Takeoff,Substantial,2,0,1,1,33,Medical Emergency,73.5,High,Runway Change,17.3
IMC,Climb,Minor,1,1,0,1,23,Cabin Pressure Failure,89.0,Critical,Priority Landing,26.9
VMC,Climb,None,2,0,0,3,50,Near Collision,60.5,High,Go Around,18.0
Fog,Takeoff,Minor,2,0,0,1,47,Medical Emergency,68.5,High,Runway Change,21.9
VMC,Landing,Minor,4,0,0,1,94,Landing Gear Issue,52.5,Medium,Continue Monitoring,14.6
VMC,Taxi,None,2,0,1,3,96,Cabin Pressure Failure,53.5,Medium,Emergency Descent,14.1
Windy,Approach,None,4,0,0,0,208,Runway Incursion,47.0,Medium,Continue Monitoring,10.4
VMC,Approach,Destroyed,3,0,0,1,227,Near Collision,100.0,Critical,Priority Landing,23.0
VMC,Landing,None,2,0,0,0,59,Runway Incursion,42.0,Medium,Continue Monitoring,10.2
VMC,Cruise,None,2,1,0,0,107,Near Collision,61.0,High,Go Around,20.2
VMC,Cruise,None,2,0,0,0,136,Cabin Pressure Failure,48.0,Medium,Emergency Descent,13.1
VMC,Approach,Minor,3,0,1,0,82,Runway Incursion,51.5,Medium,Continue Monitoring,13.0
VMC,Climb,None,2,0,1,1,96,Medical Emergency,37.5,Medium,Continue Monitoring,13.7
VMC,Takeoff,None,4,1,0,1,174,Runway Incursion,47.5,Medium,Continue Monitoring,9.9
VMC,Approach,None,4,0,0,1,117,Cabin Pressure Failure,53.5,Medium,Emergency Descent,17.1
IMC,Landing,Minor,2,1,1,1,181,Near Collision,100.0,Critical,Priority Landing,28.9
Rain,Takeoff,None,2,0,0,4,37,Bird Strike,64.0,High,Runway Change,14.6
VMC,Climb,Substantial,2,0,0,1,130,Bird Strike,70.5,High,Holding Pattern,21.2
VMC,Climb,None,2,0,0,0,91,Cabin Pressure Failure,52.0,Medium,Emergency Descent,17.1
IMC,Landing,None,3,0,0,0,86,Runway Incursion,53.5,Medium,Continue Monitoring,12.4
Windy,Approach,Destroyed,1,1,0,1,127,Near Collision,100.0,Critical,Priority Landing,22.5
Windy,Approach,Substantial,1,0,0,0,89,Fuel Low,89.5,Critical,Priority Landing,20.0
VMC,Approach,None,2,0,0,3,194,Runway Incursion,41.5,Medium,Continue Monitoring,11.6
VMC,Climb,Substantial,4,0,1,0,62,Near Collision,87.0,Critical,Priority Landing,20.5
VMC,Landing,Minor,2,0,1,1,225,Cabin Pressure Failure,77.5,High,Emergency Descent,17.4
VMC,Takeoff,None,4,0,0,0,103,Landing Gear Issue,37.0,Medium,Continue Monitoring,10.3
IMC,Takeoff,Substantial,2,0,1,1,141,Runway Incursion,88.5,Critical,Priority Landing,26.3
